data,selic_meta,debt_dbgg,ibc_br,ipca,selic_efetiva,unemployment,usd_brl,selic_next,target,ipca_pct1,ipca_pct3,ibc_br_pct1,ibc_br_pct3,debt_dbgg_pct1,debt_dbgg_pct3,usd_brl_pct1,usd_brl_pct3,unemployment_pct1,unemployment_pct3,ipca_ma3,ipca_std3,ibc_br_ma3,ibc_br_std3,usd_brl_ma3,usd_brl_std3,selic_meta_lag1,selic_meta_lag3,ipca_lag1,ipca_lag3,ibc_br_lag1,ibc_br_lag3,unemployment_lag1,unemployment_lag3,usd_brl_lag1,usd_brl_lag3
2016-02-01,14.15,27.0,91.98494,0.9,1.0,10.3,3.973115789473684,14.15,0,-0.2913385826771654,-0.1089108910891089,0.017931136750453103,-0.03715716398034896,0.07227958697378867,0.14406779661016933,-0.019398997838277254,0.03200493245894287,0.07291666666666674,0.13186813186813207,1.0433333333333334,0.1985782801147531,92.66494333333333,2.7052218243673316,3.9651087480063794,0.09087472392520599,14.15,14.15,1.27,1.01,90.3646,95.53474,9.6,9.1,4.051715,3.8499
2016-03-01,14.15,28.09,98.52596,0.43,1.16,11.0,3.7033090909090913,14.15,0,-0.5222222222222223,-0.5520833333333333,0.07110968382433036,0.030118263011173818,0.04037037037037039,0.12225329604474622,-0.06790808847791818,-0.043195080733145264,0.06796116504854366,0.20879120879120894,0.8666666666666666,0.4209908945967043,93.62516666666666,4.320845623362783,3.9093799601275916,0.18273850532712402,14.15,14.15,0.9,0.96,91.98494,95.64529,10.3,9.1,3.973115789473684,3.870495454545454
2016-04-01,14.15,28.57,95.37409,0.61,1.06,11.3,3.56524,14.15,0,0.4186046511627908,-0.5196850393700787,-0.03199024906735237,0.05543642089933454,0.01708793164827349,0.1346306592533757,-0.03728262683987793,-0.12006644100090935,0.027272727272727337,0.17708333333333348,0.6466666666666666,0.23713568549109917,95.29499666666668,3.2712272126272923,3.7472216267942584,0.20745336347139576,14.15,14.15,0.43,1.27,98.52596,90.3646,11.0,9.6,3.7033090909090913,4.051715
2016-05-01,14.15,28.89,93.46649,0.78,1.11,11.3,3.538685714285714,14.15,0,0.278688524590164,-0.1333333333333333,-0.02000123933030451,0.016106440902173835,0.011200560028001405,0.07000000000000006,-0.007448106078212446,-0.10934241492255092,0.0,0.09708737864077666,0.6066666666666667,0.17502380790433492,95.78884666666666,2.5551079213280437,3.602411601731602,0.08838274726546173,14.15,14.15,0.61,0.9,95.37409,91.98494,11.3,10.3,3.56524,3.973115789473684
2016-06-01,14.15,31.03,94.76115,0.35,1.16,11.4,3.423877272727273,14.15,0,-0.5512820512820513,-0.18604651162790697,0.013851595368564729,-0.03821135059227032,0.07407407407407418,0.10466358134567466,-0.032443808472438884,-0.0754546302569693,0.008849557522123908,0.036363636363636376,0.58,0.2165640782770776,94.53390999999999,0.973890626918632,3.509267662337662,0.07513269262318426,14.15,14.15,0.78,0.43,93.46649,98.52596,11.3,11.0,3.538685714285714,3.7033090909090913
2016-07-01,14.15,32.23,95.82074,0.52,1.11,11.7,3.2749666666666664,14.15,0,0.48571428571428577,-0.14754098360655732,0.011181692075286076,0.004683137736884335,0.03867225265871732,0.12810640532026585,-0.043491805984620546,-0.08141761377448187,0.02631578947368407,0.03539823008849541,0.5499999999999999,0.2165640782770776,94.68279333333332,1.1790793404318944,3.4125098845598845,0.13222649944162393,14.15,14.15,0.35,0.61,94.76115,95.37409,11.4,11.3,3.423877272727273,3.56524
2016-08-01,14.15,32.35,96.78617,0.44,1.22,11.9,3.2090565217391305,14.15,0,-0.15384615384615385,-0.4358974358974359,0.01007537616595311,0.035517328188958475,0.0037232392181199003,0.11976462443752167,-0.020125439931460654,-0.093150174714829,0.017094017094017255,0.05309734513274322,0.4366666666666667,0.08504900548115527,95.78935333333334,1.0128747909950782,3.3026334870443566,0.11005034518862798,14.15,14.15,0.52,0.78,95.82074,93.46649,11.7,11.3,3.2749666666666664,3.538685714285714
2016-09-01,14.15,33.26,93.86124,0.08,1.11,11.9,3.2557714285714288,14.05,0,-0.8181818181818181,-0.7714285714285714,-0.030220536673783105,-0.009496613327297121,0.028129829984544052,0.07186593619078296,0.014557209109854252,-0.04909809282443711,0.0,0.04385964912280693,0.3466666666666667,0.2343786110832932,95.48938333333332,1.490352913451483,3.2465982056590748,0.03389908280532465,14.15,14.15,0.44,0.35,96.78617,94.76115,11.9,11.4,3.2090565217391305,3.423877272727273
2016-10-01,14.05,33.43,93.22555,0.26,1.05,11.9,3.185245,13.9,0,2.25,-0.5,-0.00677265716924258,-0.027083802525424083,0.005111244738424503,0.03723239218119767,-0.021661971707385597,-0.027396207594988176,0.0,0.017094017094017255,0.26,0.18000000000000085,94.62432,1.8990055320877761,3.216690983436853,0.03587768158369435,14.15,14.15,0.08,0.52,93.86124,95.82074,11.9,11.7,3.2557714285714288,3.2749666666666664
2016-11-01,13.9,33.21,92.94767,0.18,1.04,12.0,3.34143,13.65,0,-0.3076923076923077,-0.5909090909090909,-0.002980727922763604,-0.0396595918611099,-0.006580915345497984,0.026584234930448147,0.04903390477027658,0.04124996782204704,0.008403361344537785,0.008403361344537785,0.17333333333333334,0.09018499505645974,93.34481999999998,0.46831777235119026,3.2608154761904764,0.07821457900249598,14.05,14.15,0.26,0.44,93.22555,96.78617,11.9,11.9,3.185245,3.2090565217391305
2016-12-01,13.65,35.85,93.772,0.3,1.12,12.1,3.351668181818182,13.17,0,0.6666666666666667,2.75,0.0088687537837151,-0.0009507651933853278,0.079494128274616,0.07787131689717386,0.0030640120601603815,0.02945438749329865,0.008333333333333304,0.01680672268907557,0.24666666666666667,0.061101009266080385,93.31507333333333,0.419393380531115,3.2927810606060604,0.09326954668989551,13.9,14.15,0.18,0.08,92.94767,93.86124,12.0,11.9,3.34143,3.2557714285714288
2017-01-01,13.17,36.63,90.57006,0.38,1.09,12.7,3.195986363636364,12.82,0,0.26666666666666683,0.46153846153846145,-0.03414601373544346,-0.028484573166905447,0.02175732217573234,0.0957224050254264,-0.04644905454136128,0.003372225256256245,0.04958677685950419,0.0672268907563025,0.2866666666666667,0.10066445913694479,92.42990999999999,1.6625767663780258,3.2963615151515153,0.08707803036933608,13.65,14.05,0.3,0.26,93.772,93.22555,12.1,11.9,3.351668181818182,3.185245
