data,valor
2022-06-01,99.26016
2022-07-01,104.00896
2022-08-01,104.55131
2022-09-01,101.12168
2022-10-01,100.04509
2022-11-01,98.9481
2022-12-01,99.84236
2023-01-01,95.33853
2023-02-01,98.665
2023-03-01,110.74991
2023-04-01,103.93605
2023-05-01,102.77821
2023-06-01,102.19056
2023-07-01,105.3951
2023-08-01,106.08791
2023-09-01,101.78245
2023-10-01,101.94681
2023-11-01,101.61883
2023-12-01,101.62388
2024-01-01,99.37657
2024-02-01,102.27501
2024-03-01,109.77135
2024-04-01,109.30206
2024-05-01,104.71039
2024-06-01,105.79697
2024-07-01,111.65413
2024-08-01,110.15021
2024-09-01,107.12703
2024-10-01,109.185
2024-11-01,105.40008
2024-12-01,104.09785
2025-01-01,102.93796
2025-02-01,106.86305
2025-03-01,114.00139
2025-04-01,112.41307
2025-05-01,108.58398
2025-06-01,107.20683
2025-07-01,113.06029
2025-08-01,110.37876
2025-09-01,109.24425
