data,valor
2015-11-30,3.8499
2015-12-01,3.8739
2015-12-02,3.8539
2015-12-03,3.7964
2015-12-04,3.7569
2015-12-07,3.747
2015-12-08,3.7915
2015-12-09,3.7573
2015-12-10,3.7679
2015-12-11,3.8541
2015-12-14,3.9017
2015-12-15,3.8697
2015-12-16,3.9351
2015-12-17,3.8923
2015-12-18,3.9056
2015-12-21,3.9825
2015-12-22,3.9764
2015-12-23,3.9626
2015-12-24,3.9511
2015-12-28,3.918
2015-12-29,3.8486
2015-12-30,3.9042
2015-12-31,3.9042
2016-01-04,4.038
2016-01-05,4.0108
2016-01-06,4.0297
2016-01-07,4.0469
2016-01-08,4.0244
2016-01-11,4.0147
2016-01-12,4.0293
2016-01-13,3.9857
2016-01-14,4.0217
2016-01-15,4.0396
2016-01-18,4.0358
2016-01-19,4.0297
2016-01-20,4.0855
2016-01-21,4.1552
2016-01-22,4.1226
2016-01-25,4.0991
2016-01-26,4.0961
2016-01-27,4.0441
2016-01-28,4.0832
2016-01-29,4.0422
2016-02-01,3.9979
2016-02-02,3.9913
2016-02-03,3.9552
2016-02-04,3.8646
2016-02-05,3.8969
2016-02-10,3.9406
2016-02-11,3.9636
2016-02-12,3.9884
2016-02-15,3.9879
2016-02-16,4.0207
2016-02-17,4.0312
2016-02-18,4.0084
2016-02-19,4.0486
2016-02-22,3.9612
2016-02-23,3.9678
2016-02-24,3.9894
2016-02-25,3.9394
2016-02-26,3.9571
2016-02-29,3.979
2016-03-01,3.9907
2016-03-02,3.911
2016-03-03,3.8498
2016-03-04,3.7182
2016-03-07,3.7708
2016-03-08,3.7807
2016-03-09,3.7031
2016-03-10,3.6694
2016-03-11,3.6265
2016-03-14,3.6232
2016-03-15,3.711
2016-03-16,3.8073
2016-03-17,3.6439
2016-03-18,3.614
2016-03-21,3.6223
2016-03-22,3.6067
2016-03-23,3.6525
2016-03-24,3.6942
2016-03-28,3.6401
2016-03-29,3.6681
2016-03-30,3.611
2016-03-31,3.5583
2016-04-01,3.5793
2016-04-04,3.5865
2016-04-05,3.6575
2016-04-06,3.6743
2016-04-07,3.6915
2016-04-08,3.6379
2016-04-11,3.5278
2016-04-12,3.54
2016-04-13,3.5423
2016-04-14,3.512
2016-04-15,3.527
2016-04-18,3.5898
2016-04-19,3.5532
2016-04-20,3.5497
2016-04-22,3.5823
2016-04-25,3.5466
2016-04-26,3.5294
2016-04-27,3.5289
2016-04-28,3.4986
2016-04-29,3.4502
